hour,weekday,is_weekend,is_holiday,power
0,6,1,1,112
1,6,1,1,109
2,6,1,1,113
3,6,1,1,118
4,6,1,1,109
5,6,1,1,109
6,6,1,1,98
7,6,1,1,94
8,6,1,1,88
9,6,1,1,93
10,6,1,1,88
11,6,1,1,88
12,6,1,1,91
13,6,1,1,80
14,6,1,1,81
15,6,1,1,87
16,6,1,1,85
17,6,1,1,92
18,6,1,1,105
19,6,1,1,103
20,6,1,1,117
21,6,1,1,109
22,6,1,1,110
23,6,1,1,103
0,0,0,0,67
1,0,0,0,71
2,0,0,0,64
3,0,0,0,72
4,0,0,0,67
5,0,0,0,69
6,0,0,0,47
7,0,0,0,59
8,0,0,0,40
9,0,0,0,35
10,0,0,0,44
11,0,0,0,34
12,0,0,0,41
13,0,0,0,30
14,0,0,0,33
15,0,0,0,41
16,0,0,0,44
17,0,0,0,41
18,0,0,0,59
19,0,0,0,58
20,0,0,0,63
21,0,0,0,66
22,0,0,0,68
23,0,0,0,75
0,1,0,0,72
1,1,0,0,61
2,1,0,0,72
3,1,0,0,68
4,1,0,0,67
5,1,0,0,73
6,1,0,0,55
7,1,0,0,55
8,1,0,0,36
9,1,0,0,38
10,1,0,0,42
11,1,0,0,45
12,1,0,0,38
13,1,0,0,39
14,1,0,0,34
15,1,0,0,34
16,1,0,0,44
17,1,0,0,47
18,1,0,0,60
19,1,0,0,65
20,1,0,0,72
21,1,0,0,67
22,1,0,0,72
23,1,0,0,78
0,2,0,0,70
1,2,0,0,78
2,2,0,0,57
3,2,0,0,74
4,2,0,0,70
5,2,0,0,69
6,2,0,0,50
7,2,0,0,40
8,2,0,0,39
9,2,0,0,42
10,2,0,0,47
11,2,0,0,37
12,2,0,0,36
13,2,0,0,37
14,2,0,0,45
15,2,0,0,42
16,2,0,0,37
17,2,0,0,43
18,2,0,0,60
19,2,0,0,65
20,2,0,0,66
21,2,0,0,68
22,2,0,0,68
23,2,0,0,63
0,3,0,0,71
1,3,0,0,71
2,3,0,0,70
3,3,0,0,69
4,3,0,0,63
5,3,0,0,68
